Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
CMRC,CMRC250919C00002500,Call,2025-09-19,2.5,2.0,2.9,1.0,1.0,10.562503398437503,4.96,4.92,4.98,1.984
CMRC,CMRC250919C00005000,Call,2025-09-19,5.0,0.0,0.15,47.0,1300.0,0.51562984375,4.96,4.92,4.98,0.992
CMRC,CMRC250919C00007500,Call,2025-09-19,7.5,0.0,0.05,2.0,3.0,2.6250034375,4.96,4.92,4.98,0.6613333333333333
CMRC,CMRC250919P00005000,Put,2025-09-19,5.0,0.1,0.25,25.0,94.0,0.85937640625,4.96,4.92,4.98,1.0080645161290323
CMRC,CMRC250919P00007500,Put,2025-09-19,7.5,0.0,0.0,,1.0,1.0000000000000003e-05,4.96,4.92,4.98,1.5120967741935485
CMRC,CMRC251017C00002500,Call,2025-10-17,2.5,0.0,0.0,5.0,8.0,1.0000000000000003e-05,4.96,4.92,4.98,1.984
CMRC,CMRC251017C00005000,Call,2025-10-17,5.0,0.3,0.4,226.0,2034.0,0.64062859375,4.96,4.92,4.98,0.992
CMRC,CMRC251017C00007500,Call,2025-10-17,7.5,0.0,0.2,5.0,238.0,1.1328168359375002,4.96,4.92,4.98,0.6613333333333333
CMRC,CMRC251017C00010000,Call,2025-10-17,10.0,0.0,0.5,,41.0,2.07031732421875,4.96,4.92,4.98,0.496
CMRC,CMRC251017C00012500,Call,2025-10-17,12.5,,,,,0.0,4.96,4.92,4.98,0.3968
CMRC,CMRC251017P00002500,Put,2025-10-17,2.5,0.0,0.75,,562.0,3.05468986328125,4.96,4.92,4.98,0.5040322580645161
CMRC,CMRC251017P00005000,Put,2025-10-17,5.0,0.35,0.45,27.0,969.0,0.6562534375000001,4.96,4.92,4.98,1.0080645161290323
CMRC,CMRC251017P00007500,Put,2025-10-17,7.5,1.65,3.5,1.0,9.0,0.87500125,4.96,4.92,4.98,1.5120967741935485
CMRC,CMRC251017P00010000,Put,2025-10-17,10.0,0.0,0.0,,1.0,1.0000000000000003e-05,4.96,4.92,4.98,2.0161290322580645
CMRC,CMRC251017P00012500,Put,2025-10-17,12.5,7.4,7.7,,1.0,1.3437532812499997,4.96,4.92,4.98,2.5201612903225805
CMRC,CMRC260116C00002500,Call,2026-01-16,2.5,2.25,2.65,2.0,384.0,1.1757853710937498,4.96,4.92,4.98,1.984
CMRC,CMRC260116C00005000,Call,2026-01-16,5.0,0.75,0.85,7.0,2225.0,0.7187528125,4.96,4.92,4.98,0.992
CMRC,CMRC260116C00007500,Call,2026-01-16,7.5,0.25,0.3,42.0,1179.0,0.7929708203125,4.96,4.92,4.98,0.6613333333333333
CMRC,CMRC260116C00010000,Call,2026-01-16,10.0,0.05,0.4,49.0,497.0,1.01172369140625,4.96,4.92,4.98,0.496
CMRC,CMRC260116P00002500,Put,2026-01-16,2.5,0.0,0.15,1.0,613.0,0.8906260937499999,4.96,4.92,4.98,0.5040322580645161
CMRC,CMRC260116P00005000,Put,2026-01-16,5.0,0.75,0.85,1.0,236.0,0.6835969140625001,4.96,4.92,4.98,1.0080645161290323
CMRC,CMRC260116P00007500,Put,2026-01-16,7.5,2.65,2.8,49.0,7.0,0.6875031250000001,4.96,4.92,4.98,1.5120967741935485
CMRC,CMRC260116P00010000,Put,2026-01-16,10.0,4.9,5.2,1.0,4.0,0.5468795312500001,4.96,4.92,4.98,2.0161290322580645
CMRC,CMRC260417C00002500,Call,2026-04-17,2.5,2.15,2.8,1.0,37.0,1.1171919140625,4.96,4.92,4.98,1.984
CMRC,CMRC260417C00005000,Call,2026-04-17,5.0,1.05,1.2,37.0,104.0,0.7656273437500001,4.96,4.92,4.98,0.992
CMRC,CMRC260417C00007500,Call,2026-04-17,7.5,0.4,0.55,61.0,1266.0,0.7539087109375,4.96,4.92,4.98,0.6613333333333333
CMRC,CMRC260417P00002500,Put,2026-04-17,2.5,0.0,0.25,,1000.0,0.7773459765625,4.96,4.92,4.98,0.5040322580645161
CMRC,CMRC260417P00005000,Put,2026-04-17,5.0,0.9,1.1,,10.0,0.6523472265625001,4.96,4.92,4.98,1.0080645161290323
CMRC,CMRC261218C00002500,Call,2026-12-18,2.5,0.7,3.1,5.0,405.0,1.0351610742187503,4.96,4.92,4.98,1.984
CMRC,CMRC261218C00005000,Call,2026-12-18,5.0,1.55,1.7,3.0,49.0,0.7617211328125001,4.96,4.92,4.98,0.992
CMRC,CMRC261218C00007500,Call,2026-12-18,7.5,0.8,1.05,12.0,24.0,0.7246121289062499,4.96,4.92,4.98,0.6613333333333333
CMRC,CMRC261218P00002500,Put,2026-12-18,2.5,0.0,1.4,,300.0,1.08984830078125,4.96,4.92,4.98,0.5040322580645161
CMRC,CMRC261218P00005000,Put,2026-12-18,5.0,0.0,1.55,,10.0,0.7060576269531251,4.96,4.92,4.98,1.0080645161290323
CMRC,CMRC261218P00007500,Put,2026-12-18,7.5,3.1,3.4,,49.0,0.6259803027343751,4.96,4.92,4.98,1.5120967741935485
