Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
PD,PD250919C00010000,Call,2025-09-19,10.0,6.1,6.9,2.0,2,3.968750078125,16.43,16.33,16.43,1.643
PD,PD250919C00012500,Call,2025-09-19,12.5,3.8,4.0,2.0,77,2.4218789453125,16.43,16.33,16.43,1.3144
PD,PD250919C00015000,Call,2025-09-19,15.0,1.4,1.5,42.0,676,0.7656273437500001,16.43,16.33,16.43,1.0953333333333333
PD,PD250919C00017500,Call,2025-09-19,17.5,0.0,0.05,11.0,3258,0.5937540625000001,16.43,16.33,16.43,0.9388571428571428
PD,PD250919C00020000,Call,2025-09-19,20.0,0.0,0.05,3.0,1957,1.4375028125,16.43,16.33,16.43,0.8215
PD,PD250919C00022500,Call,2025-09-19,22.5,0.0,0.05,13.0,234,2.1250046874999997,16.43,16.33,16.43,0.7302222222222222
PD,PD250919P00007500,Put,2025-09-19,7.5,0.0,0.05,,5,5.000003749999999,16.43,16.33,16.43,0.4564820450395618
PD,PD250919P00010000,Put,2025-09-19,10.0,0.0,0.25,,1,4.484379394531249,16.43,16.33,16.43,0.6086427267194157
PD,PD250919P00012500,Put,2025-09-19,12.5,0.0,0.05,1.0,179,1.96875015625,16.43,16.33,16.43,0.7608034083992696
PD,PD250919P00015000,Put,2025-09-19,15.0,0.0,0.1,1.0,1242,0.945313046875,16.43,16.33,16.43,0.9129640900791236
PD,PD250919P00017500,Put,2025-09-19,17.5,1.0,1.15,24.0,103,0.8203142968749999,16.43,16.33,16.43,1.0651247717589776
PD,PD250919P00020000,Put,2025-09-19,20.0,3.5,4.0,5.0,9,2.2656293359374997,16.43,16.33,16.43,1.2172854534388313
PD,PD250919P00022500,Put,2025-09-19,22.5,6.0,7.1,4.0,0,4.187504765625,16.43,16.33,16.43,1.3694461351186853
PD,PD250919P00030000,Put,2025-09-19,30.0,13.3,15.1,,0,6.8359389550781255,16.43,16.33,16.43,1.8259281801582472
PD,PD251017C00012500,Call,2025-10-17,12.5,3.9,4.1,1.0,100,0.6250037500000001,16.43,16.33,16.43,1.3144
PD,PD251017C00015000,Call,2025-10-17,15.0,1.75,1.9,51.0,656,0.52539537109375,16.43,16.33,16.43,1.0953333333333333
PD,PD251017C00017500,Call,2025-10-17,17.5,0.4,0.5,222.0,2703,0.48438015625,16.43,16.33,16.43,0.9388571428571428
PD,PD251017C00020000,Call,2025-10-17,20.0,0.05,0.15,170.0,880,0.5546919531250001,16.43,16.33,16.43,0.8215
PD,PD251017C00022500,Call,2025-10-17,22.5,0.0,0.25,60.0,145,0.7421900781249999,16.43,16.33,16.43,0.7302222222222222
PD,PD251017C00025000,Call,2025-10-17,25.0,0.0,0.05,1.0,2403,0.6953155468750001,16.43,16.33,16.43,0.6572
PD,PD251017P00010000,Put,2025-10-17,10.0,0.0,0.3,497.0,1093,1.2109414453124998,16.43,16.33,16.43,0.6086427267194157
PD,PD251017P00012500,Put,2025-10-17,12.5,0.0,0.1,50.0,855,0.5820354296875,16.43,16.33,16.43,0.7608034083992696
PD,PD251017P00015000,Put,2025-10-17,15.0,0.25,0.4,5.0,3756,0.5283250292968751,16.43,16.33,16.43,0.9129640900791236
PD,PD251017P00017500,Put,2025-10-17,17.5,1.4,1.55,6.0,183,0.47363807617187503,16.43,16.33,16.43,1.0651247717589776
PD,PD251017P00020000,Put,2025-10-17,20.0,3.4,3.7,1.0,66,0.53320779296875,16.43,16.33,16.43,1.2172854534388313
PD,PD251017P00022500,Put,2025-10-17,22.5,5.9,7.1,,0,1.0429735351562504,16.43,16.33,16.43,1.3694461351186853
PD,PD251121C00005000,Call,2025-11-21,5.0,10.0,12.4,,21,3.0292993017578125,16.43,16.33,16.43,3.286
PD,PD251121C00007500,Call,2025-11-21,7.5,0.0,0.0,3.0,1,1.0000000000000003e-05,16.43,16.33,16.43,2.1906666666666665
PD,PD251121C00010000,Call,2025-11-21,10.0,6.6,7.2,2.0,0,1.1367230664062502,16.43,16.33,16.43,1.643
PD,PD251121C00012500,Call,2025-11-21,12.5,4.0,5.0,5.0,46,0.8017597949218749,16.43,16.33,16.43,1.3144
PD,PD251121C00015000,Call,2025-11-21,15.0,2.1,2.95,3.0,1244,0.6513706738281251,16.43,16.33,16.43,1.0953333333333333
PD,PD251121C00017500,Call,2025-11-21,17.5,0.75,0.95,26.0,873,0.499028447265625,16.43,16.33,16.43,0.9388571428571428
PD,PD251121C00020000,Call,2025-11-21,20.0,0.1,0.3,1.0,1087,0.467778759765625,16.43,16.33,16.43,0.8215
PD,PD251121C00022500,Call,2025-11-21,22.5,0.0,0.2,4.0,133,0.5654340332031251,16.43,16.33,16.43,0.7302222222222222
PD,PD251121C00025000,Call,2025-11-21,25.0,0.0,0.75,1.0,8,0.8173846386718748,16.43,16.33,16.43,0.6572
PD,PD251121P00007500,Put,2025-11-21,7.5,0.0,0.5,254.0,191,1.3671906640625,16.43,16.33,16.43,0.4564820450395618
PD,PD251121P00010000,Put,2025-11-21,10.0,0.0,0.7,2.0,531,1.0332079589843752,16.43,16.33,16.43,0.6086427267194157
PD,PD251121P00012500,Put,2025-11-21,12.5,0.1,0.3,2.0,521,0.5546919531250001,16.43,16.33,16.43,0.7608034083992696
PD,PD251121P00015000,Put,2025-11-21,15.0,0.55,1.2,1.0,1159,0.561527822265625,16.43,16.33,16.43,0.9129640900791236
PD,PD251121P00017500,Put,2025-11-21,17.5,1.7,2.45,16.0,364,0.5190477783203125,16.43,16.33,16.43,1.0651247717589776
PD,PD251121P00020000,Put,2025-11-21,20.0,2.45,4.1,20.0,26,0.5810588769531251,16.43,16.33,16.43,1.2172854534388313
PD,PD260116C00005000,Call,2026-01-16,5.0,10.5,13.5,2.0,2,1.8359383203124997,16.43,16.33,16.43,3.286
PD,PD260116C00007500,Call,2026-01-16,7.5,7.4,10.8,10.0,2,0.91211025390625,16.43,16.33,16.43,2.1906666666666665
PD,PD260116C00010000,Call,2026-01-16,10.0,6.6,6.9,3.0,192,0.737307314453125,16.43,16.33,16.43,1.643
PD,PD260116C00012500,Call,2026-01-16,12.5,4.5,4.7,2.0,98,0.6293982373046876,16.43,16.33,16.43,1.3144
PD,PD260116C00015000,Call,2026-01-16,15.0,2.6,2.85,1.0,1106,0.5361374511718751,16.43,16.33,16.43,1.0953333333333333
PD,PD260116C00017500,Call,2026-01-16,17.5,1.35,2.5,5.0,1157,0.6250037500000001,16.43,16.33,16.43,0.9388571428571428
PD,PD260116C00020000,Call,2026-01-16,20.0,0.45,1.05,2.0,3163,0.584965087890625,16.43,16.33,16.43,0.8215
PD,PD260116C00022500,Call,2026-01-16,22.5,0.1,0.8,1.0,846,0.5268602001953125,16.43,16.33,16.43,0.7302222222222222
PD,PD260116C00025000,Call,2026-01-16,25.0,0.1,0.2,105.0,392,0.507817421875,16.43,16.33,16.43,0.6572
PD,PD260116C00030000,Call,2026-01-16,30.0,0.0,0.25,11.0,661,0.5996133789062501,16.43,16.33,16.43,0.5476666666666666
PD,PD260116C00035000,Call,2026-01-16,35.0,0.0,0.3,1.0,122,0.7382838671874999,16.43,16.33,16.43,0.4694285714285714
PD,PD260116P00005000,Put,2026-01-16,5.0,0.0,5.0,5.0,0,3.5917978955078125,16.43,16.33,16.43,0.30432136335970783
PD,PD260116P00010000,Put,2026-01-16,10.0,0.1,0.25,378.0,640,0.6250037500000001,16.43,16.33,16.43,0.6086427267194157
PD,PD260116P00012500,Put,2026-01-16,12.5,0.35,0.55,4.0,1289,0.5351608984375,16.43,16.33,16.43,0.7608034083992696
PD,PD260116P00015000,Put,2026-01-16,15.0,0.85,1.25,3.0,516,0.5229539892578124,16.43,16.33,16.43,0.9129640900791236
PD,PD260116P00017500,Put,2026-01-16,17.5,1.3,2.45,1.0,268,0.4809622216796875,16.43,16.33,16.43,1.0651247717589776
PD,PD260116P00020000,Put,2026-01-16,20.0,2.4,5.1,6.0,208,0.7202176416015625,16.43,16.33,16.43,1.2172854534388313
PD,PD260116P00022500,Put,2026-01-16,22.5,4.1,6.1,1.0,240,0.28125718749999995,16.43,16.33,16.43,1.3694461351186853
PD,PD260116P00025000,Put,2026-01-16,25.0,2.0,6.2,2.0,2,1.0000000000000003e-05,16.43,16.33,16.43,1.5216068167985393
PD,PD260220C00002500,Call,2026-02-20,2.5,12.5,15.5,,3,1.5390648046875,16.43,16.33,16.43,6.572
PD,PD260220C00010000,Call,2026-02-20,10.0,6.2,7.9,3.0,3,0.8085956640624999,16.43,16.33,16.43,1.643
PD,PD260220C00012500,Call,2026-02-20,12.5,4.4,5.8,1.0,75,0.7241238525390624,16.43,16.33,16.43,1.3144
PD,PD260220C00015000,Call,2026-02-20,15.0,2.8,3.1,11.0,98,0.5297898583984376,16.43,16.33,16.43,1.0953333333333333
PD,PD260220C00017500,Call,2026-02-20,17.5,1.5,1.7,1.0,43,0.49805189453125004,16.43,16.33,16.43,0.9388571428571428
PD,PD260220C00020000,Call,2026-02-20,20.0,0.4,0.85,25.0,96,0.4633842724609375,16.43,16.33,16.43,0.8215
PD,PD260220C00022500,Call,2026-02-20,22.5,0.25,0.4,1.0,521,0.446294599609375,16.43,16.33,16.43,0.7302222222222222
PD,PD260220C00025000,Call,2026-02-20,25.0,0.0,0.3,1.0,9,0.49609878906250005,16.43,16.33,16.43,0.6572
PD,PD260220P00010000,Put,2026-02-20,10.0,0.05,0.35,,4,0.570316796875,16.43,16.33,16.43,0.6086427267194157
PD,PD260220P00012500,Put,2026-02-20,12.5,0.05,0.6,34.0,118,0.5288133056640626,16.43,16.33,16.43,0.7608034083992696
PD,PD260220P00015000,Put,2026-02-20,15.0,1.2,1.35,2.0,35,0.48633326171875,16.43,16.33,16.43,0.9129640900791236
PD,PD260220P00017500,Put,2026-02-20,17.5,2.1,2.6,3.0,17,0.4585015087890626,16.43,16.33,16.43,1.0651247717589776
PD,PD260320C00012500,Call,2026-03-20,12.5,4.1,5.8,30.0,33,0.6215858154296876,16.43,16.33,16.43,1.3144
PD,PD260320C00015000,Call,2026-03-20,15.0,2.95,3.4,1.0,36,0.5410202148437502,16.43,16.33,16.43,1.0953333333333333
PD,PD260320C00017500,Call,2026-03-20,17.5,1.75,1.95,50.0,24,0.5122119091796875,16.43,16.33,16.43,0.9388571428571428
PD,PD260320C00020000,Call,2026-03-20,20.0,0.8,1.0,10.0,403,0.46289599609375004,16.43,16.33,16.43,0.8215
PD,PD260320C00022500,Call,2026-03-20,22.5,0.25,0.6,26.0,28,0.4726615234375,16.43,16.33,16.43,0.7302222222222222
PD,PD260320C00025000,Call,2026-03-20,25.0,0.05,0.7,10.0,34,0.5913126806640626,16.43,16.33,16.43,0.6572
PD,PD260320P00015000,Put,2026-03-20,15.0,1.25,1.7,,1,0.5307664111328125,16.43,16.33,16.43,0.9129640900791236
PD,PD260320P00017500,Put,2026-03-20,17.5,2.4,2.8,,20,0.46533737792968755,16.43,16.33,16.43,1.0651247717589776
PD,PD260320P00022500,Put,2026-03-20,22.5,4.2,6.8,3.0,3,0.5092822509765625,16.43,16.33,16.43,1.3694461351186853
PD,PD260320P00030000,Put,2026-03-20,30.0,13.2,14.2,,0,0.7128934960937501,16.43,16.33,16.43,1.8259281801582472
PD,PD260618C00010000,Call,2026-06-18,10.0,5.0,8.3,5.0,4,1.001958115234375,16.43,16.33,16.43,1.643
PD,PD260618C00012500,Call,2026-06-18,12.5,3.1,5.4,2.0,406,0.6186561572265626,16.43,16.33,16.43,1.3144
PD,PD260618C00015000,Call,2026-06-18,15.0,3.2,3.8,8.0,256,0.50586431640625,16.43,16.33,16.43,1.0953333333333333
PD,PD260618C00017500,Call,2026-06-18,17.5,1.95,2.5,1.0,128,0.516606396484375,16.43,16.33,16.43,0.9388571428571428
PD,PD260618C00020000,Call,2026-06-18,20.0,0.85,1.65,3.0,120,0.500005,16.43,16.33,16.43,0.8215
PD,PD260618C00022500,Call,2026-06-18,22.5,0.35,0.9,3.0,1945,0.454107021484375,16.43,16.33,16.43,0.7302222222222222
PD,PD260618C00025000,Call,2026-06-18,25.0,0.1,0.9,1.0,40,0.5307664111328125,16.43,16.33,16.43,0.6572
PD,PD260618C00030000,Call,2026-06-18,30.0,0.0,2.2,25.0,26,0.6987334814453126,16.43,16.33,16.43,0.5476666666666666
PD,PD260618P00007500,Put,2026-06-18,7.5,0.0,0.0,,50,0.2500075,16.43,16.33,16.43,0.4564820450395618
PD,PD260618P00010000,Put,2026-06-18,10.0,0.25,0.45,1.0,220,0.5039112109375,16.43,16.33,16.43,0.6086427267194157
PD,PD260618P00012500,Put,2026-06-18,12.5,0.7,1.2,1.0,6,0.5542036767578126,16.43,16.33,16.43,0.7608034083992696
PD,PD260618P00015000,Put,2026-06-18,15.0,1.45,2.75,,10,0.5122119091796875,16.43,16.33,16.43,0.9129640900791236
