Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
EZPW,EZPW251017C00015000,Call,2025-10-17,15.0,3.1,3.3,4.0,27,0.5644574804687501,18.09,15.38,20.72,1.206
EZPW,EZPW251017C00017500,Call,2025-10-17,17.5,0.9,1.1,34.0,163,0.422857333984375,18.09,15.38,20.72,1.0337142857142858
EZPW,EZPW251017C00020000,Call,2025-10-17,20.0,0.05,0.15,2.0,1261,0.383795224609375,18.09,15.38,20.72,0.9045
EZPW,EZPW251017P00015000,Put,2025-10-17,15.0,0.0,0.3,,3,0.6171913281250001,18.09,15.38,20.72,0.8291873963515755
EZPW,EZPW251017P00017500,Put,2025-10-17,17.5,0.25,0.35,1.0,232,0.32910827148437494,18.09,15.38,20.72,0.9673852957435047
EZPW,EZPW251017P00020000,Put,2025-10-17,20.0,1.9,2.0,,5,0.32813171874999997,18.09,15.38,20.72,1.105583195135434
EZPW,EZPW251121C00017500,Call,2025-11-21,17.5,1.4,1.5,30.0,70,0.4145566357421875,18.09,15.38,20.72,1.0337142857142858
EZPW,EZPW251121C00020000,Call,2025-11-21,20.0,0.35,0.5,1.0,24,0.4018614501953125,18.09,15.38,20.72,0.9045
EZPW,EZPW251121P00015000,Put,2025-11-21,15.0,0.0,0.3,2.0,3,0.49219257812500006,18.09,15.38,20.72,0.8291873963515755
EZPW,EZPW251219C00002500,Call,2025-12-19,2.5,14.3,17.5,1.0,9,2.9414088964843748,18.09,15.38,20.72,7.236
EZPW,EZPW251219C00005000,Call,2025-12-19,5.0,9.7,12.4,1.0,51,1.0000000000000003e-05,18.09,15.38,20.72,3.618
EZPW,EZPW251219C00007500,Call,2025-12-19,7.5,9.8,12.6,71.0,47,1.642579912109375,18.09,15.38,20.72,2.412
EZPW,EZPW251219C00010000,Call,2025-12-19,10.0,8.1,8.3,25.0,301,0.75195560546875,18.09,15.38,20.72,1.809
EZPW,EZPW251219C00012500,Call,2025-12-19,12.5,5.7,5.9,9.0,294,0.59570716796875,18.09,15.38,20.72,1.4472
EZPW,EZPW251219C00015000,Call,2025-12-19,15.0,3.3,3.6,9.0,322,0.500005,18.09,15.38,20.72,1.206
EZPW,EZPW251219C00017500,Call,2025-12-19,17.5,1.55,1.65,310.0,2388,0.3857483300781249,18.09,15.38,20.72,1.0337142857142858
EZPW,EZPW251219C00020000,Call,2025-12-19,20.0,0.55,0.65,4.0,335,0.3789124609375,18.09,15.38,20.72,0.9045
EZPW,EZPW251219C00022500,Call,2025-12-19,22.5,0.0,0.3,2.0,30,0.41797457031249996,18.09,15.38,20.72,0.804
EZPW,EZPW251219C00025000,Call,2025-12-19,25.0,0.0,0.15,1.0,22,0.45313046875,18.09,15.38,20.72,0.7236
EZPW,EZPW251219C00030000,Call,2025-12-19,30.0,0.0,0.1,10.0,66,0.5195360546875,18.09,15.38,20.72,0.603
EZPW,EZPW251219P00007500,Put,2025-12-19,7.5,0.0,0.25,213.0,247,1.09375453125,18.09,15.38,20.72,0.41459369817578773
EZPW,EZPW251219P00010000,Put,2025-12-19,10.0,0.0,0.2,20.0,1934,0.7382838671874999,18.09,15.38,20.72,0.552791597567717
EZPW,EZPW251219P00012500,Put,2025-12-19,12.5,0.0,0.75,3.0,2073,0.708010732421875,18.09,15.38,20.72,0.6909894969596462
EZPW,EZPW251219P00015000,Put,2025-12-19,15.0,0.15,0.25,1.0,1045,0.38086556640624997,18.09,15.38,20.72,0.8291873963515755
EZPW,EZPW251219P00017500,Put,2025-12-19,17.5,0.8,0.9,6.0,21,0.33838552246093745,18.09,15.38,20.72,0.9673852957435047
EZPW,EZPW251219P00020000,Put,2025-12-19,20.0,2.2,2.35,5.0,5,0.3110420458984374,18.09,15.38,20.72,1.105583195135434
EZPW,EZPW251219P00022500,Put,2025-12-19,22.5,4.1,4.5,,5,0.3007882421875,18.09,15.38,20.72,1.2437810945273633
EZPW,EZPW260320C00010000,Call,2026-03-20,10.0,7.9,9.9,15.0,21,0.9213875048828125,18.09,15.38,20.72,1.809
EZPW,EZPW260320C00012500,Call,2026-03-20,12.5,5.9,6.1,6.0,59,0.5097705273437501,18.09,15.38,20.72,1.4472
EZPW,EZPW260320C00015000,Call,2026-03-20,15.0,3.8,4.1,3.0,128,0.485356708984375,18.09,15.38,20.72,1.206
EZPW,EZPW260320C00017500,Call,2026-03-20,17.5,2.15,2.4,44.0,126,0.4233456103515625,18.09,15.38,20.72,1.0337142857142858
EZPW,EZPW260320C00020000,Call,2026-03-20,20.0,1.15,1.65,211.0,1622,0.471684970703125,18.09,15.38,20.72,0.9045
EZPW,EZPW260320C00022500,Call,2026-03-20,22.5,0.0,0.7,1.0,15,0.4008848974609375,18.09,15.38,20.72,0.804
EZPW,EZPW260320C00025000,Call,2026-03-20,25.0,0.2,0.4,2.0,45,0.41309180664062495,18.09,15.38,20.72,0.7236
EZPW,EZPW260320P00007500,Put,2026-03-20,7.5,0.0,0.25,10.0,10,0.76367423828125,18.09,15.38,20.72,0.41459369817578773
EZPW,EZPW260320P00010000,Put,2026-03-20,10.0,0.0,0.45,1.0,341,0.6201209863281252,18.09,15.38,20.72,0.552791597567717
EZPW,EZPW260320P00012500,Put,2026-03-20,12.5,0.1,0.2,10.0,12,0.411138701171875,18.09,15.38,20.72,0.6909894969596462
EZPW,EZPW260320P00015000,Put,2026-03-20,15.0,0.0,0.65,1.0,27,0.389654541015625,18.09,15.38,20.72,0.8291873963515755
EZPW,EZPW260320P00017500,Put,2026-03-20,17.5,0.0,1.45,2.0,12,0.34961587890624996,18.09,15.38,20.72,0.9673852957435047
EZPW,EZPW260320P00020000,Put,2026-03-20,20.0,2.6,2.8,,21,0.3166572241210937,18.09,15.38,20.72,1.105583195135434
