Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
EYE,EYE251017C00007500,Call,2025-10-17,7.5,0.0,0.0,,1.0,1.0000000000000003e-05,27.4,20.52,35.28,3.6533333333333333
EYE,EYE251017C00012500,Call,2025-10-17,12.5,8.7,9.7,6.0,100.0,1.0000000000000003e-05,27.4,20.52,35.28,2.1919999999999997
EYE,EYE251017C00015000,Call,2025-10-17,15.0,11.9,14.5,1.0,35.0,2.2343794140624995,27.4,20.52,35.28,1.8266666666666667
EYE,EYE251017C00017500,Call,2025-10-17,17.5,9.5,12.2,1.0,26.0,1.89453177734375,27.4,20.52,35.28,1.5657142857142856
EYE,EYE251017C00020000,Call,2025-10-17,20.0,7.4,7.7,1.0,1180.0,0.8437515624999999,27.4,20.52,35.28,1.3699999999999999
EYE,EYE251017C00022500,Call,2025-10-17,22.5,5.0,5.4,23.0,217.0,0.710940390625,27.4,20.52,35.28,1.2177777777777776
EYE,EYE251017C00025000,Call,2025-10-17,25.0,2.8,3.2,8.0,2508.0,0.5742230078125,27.4,20.52,35.28,1.0959999999999999
EYE,EYE251017C00030000,Call,2025-10-17,30.0,0.3,0.55,26.0,3064.0,0.524418818359375,27.4,20.52,35.28,0.9133333333333333
EYE,EYE251017C00035000,Call,2025-10-17,35.0,0.0,2.15,5.0,6.0,1.193363408203125,27.4,20.52,35.28,0.7828571428571428
EYE,EYE251017P00007500,Put,2025-10-17,7.5,0.0,0.0,4.0,0.0,0.500005,27.4,20.52,35.28,0.2737226277372263
EYE,EYE251017P00010000,Put,2025-10-17,10.0,0.0,0.2,42.0,313.0,2.1328171679687498,27.4,20.52,35.28,0.36496350364963503
EYE,EYE251017P00012500,Put,2025-10-17,12.5,0.0,1.5,1.0,4.0,2.712893842773437,27.4,20.52,35.28,0.4562043795620438
EYE,EYE251017P00015000,Put,2025-10-17,15.0,0.0,1.05,1.0,4.0,1.96484392578125,27.4,20.52,35.28,0.5474452554744526
EYE,EYE251017P00017500,Put,2025-10-17,17.5,0.0,1.0,2.0,23.0,1.5312523437499999,27.4,20.52,35.28,0.6386861313868614
EYE,EYE251017P00020000,Put,2025-10-17,20.0,0.0,0.55,1.0,41.0,0.98242205078125,27.4,20.52,35.28,0.7299270072992701
EYE,EYE251017P00022500,Put,2025-10-17,22.5,0.0,1.95,1.0,2132.0,1.1123091259765625,27.4,20.52,35.28,0.8211678832116789
EYE,EYE251017P00025000,Put,2025-10-17,25.0,0.25,0.75,50.0,98.0,0.5273484765625001,27.4,20.52,35.28,0.9124087591240876
EYE,EYE251017P00030000,Put,2025-10-17,30.0,2.75,3.0,19.0,4.0,0.45606012695312503,27.4,20.52,35.28,1.094890510948905
EYE,EYE251121C00022500,Call,2025-11-21,22.5,5.4,8.2,1.0,1.0,0.9838868798828125,27.4,20.52,35.28,1.2177777777777776
EYE,EYE260116C00010000,Call,2026-01-16,10.0,16.8,20.0,1.0,0.0,1.6552751611328125,27.4,20.52,35.28,2.7399999999999998
EYE,EYE260116C00012500,Call,2026-01-16,12.5,10.6,13.4,,2.0,1.0000000000000003e-05,27.4,20.52,35.28,2.1919999999999997
EYE,EYE260116C00015000,Call,2026-01-16,15.0,12.0,15.2,1.0,1.0,1.15625421875,27.4,20.52,35.28,1.8266666666666667
EYE,EYE260116C00017500,Call,2026-01-16,17.5,9.7,12.6,1.0,13.0,0.945313046875,27.4,20.52,35.28,1.5657142857142856
EYE,EYE260116C00020000,Call,2026-01-16,20.0,8.1,8.9,1.0,107.0,0.7055693505859376,27.4,20.52,35.28,1.3699999999999999
EYE,EYE260116C00022500,Call,2026-01-16,22.5,6.1,7.2,1.0,30.0,0.6699251757812501,27.4,20.52,35.28,1.2177777777777776
EYE,EYE260116C00025000,Call,2026-01-16,25.0,4.4,5.1,1.0,81.0,0.58789474609375,27.4,20.52,35.28,1.0959999999999999
EYE,EYE260116C00030000,Call,2026-01-16,30.0,2.15,2.5,11.0,252.0,0.5449264257812501,27.4,20.52,35.28,0.9133333333333333
EYE,EYE260116C00035000,Call,2026-01-16,35.0,0.85,1.25,10.0,75.0,0.5307664111328125,27.4,20.52,35.28,0.7828571428571428
EYE,EYE260116P00010000,Put,2026-01-16,10.0,0.0,1.3,,2.0,1.4501980615234376,27.4,20.52,35.28,0.36496350364963503
EYE,EYE260116P00012500,Put,2026-01-16,12.5,0.05,1.45,,2.0,1.21875390625,27.4,20.52,35.28,0.4562043795620438
EYE,EYE260116P00015000,Put,2026-01-16,15.0,0.0,1.15,5.0,20.0,0.9062509375,27.4,20.52,35.28,0.5474452554744526
EYE,EYE260116P00017500,Put,2026-01-16,17.5,0.15,0.45,5.0,28.0,0.596683720703125,27.4,20.52,35.28,0.6386861313868614
EYE,EYE260116P00020000,Put,2026-01-16,20.0,0.45,0.9,5.0,74.0,0.5839885351562499,27.4,20.52,35.28,0.7299270072992701
EYE,EYE260116P00022500,Put,2026-01-16,22.5,1.0,1.35,1.0,11.0,0.5454147021484376,27.4,20.52,35.28,0.8211678832116789
EYE,EYE260116P00025000,Put,2026-01-16,25.0,1.7,2.1,7.0,52.0,0.5063525927734375,27.4,20.52,35.28,0.9124087591240876
EYE,EYE260116P00030000,Put,2026-01-16,30.0,4.0,4.9,22.0,22.0,0.5410202148437502,27.4,20.52,35.28,1.094890510948905
EYE,EYE260417C00015000,Call,2026-04-17,15.0,12.1,15.4,1.0,4.0,0.9018564501953125,27.4,20.52,35.28,1.8266666666666667
EYE,EYE260417C00025000,Call,2026-04-17,25.0,5.0,7.8,10.0,11.0,0.6594272338867189,27.4,20.52,35.28,1.0959999999999999
EYE,EYE260417C00030000,Call,2026-04-17,30.0,2.5,4.8,5.0,6.0,0.5686078295898438,27.4,20.52,35.28,0.9133333333333333
EYE,EYE260417P00012500,Put,2026-04-17,12.5,0.0,2.35,,1.0,1.0546922265625,27.4,20.52,35.28,0.4562043795620438
EYE,EYE260417P00022500,Put,2026-04-17,22.5,1.65,2.75,,2.0,0.5698285205078125,27.4,20.52,35.28,0.8211678832116789
EYE,EYE270115C00017500,Call,2027-01-15,17.5,8.8,12.2,,11.0,0.6064492480468751,27.4,20.52,35.28,1.5657142857142856
EYE,EYE270115C00020000,Call,2027-01-15,20.0,7.1,11.7,10.0,27.0,0.7104521142578125,27.4,20.52,35.28,1.3699999999999999
EYE,EYE270115C00022500,Call,2027-01-15,22.5,9.0,10.4,20.0,26.0,0.6276892700195313,27.4,20.52,35.28,1.2177777777777776
EYE,EYE270115C00025000,Call,2027-01-15,25.0,4.8,7.1,1.0,6.0,0.49341326904296884,27.4,20.52,35.28,1.0959999999999999
EYE,EYE270115C00030000,Call,2027-01-15,30.0,5.2,7.5,1.0,35.0,0.5897257824707032,27.4,20.52,35.28,0.9133333333333333
EYE,EYE270115C00035000,Call,2027-01-15,35.0,3.6,5.0,2.0,3.0,0.5371140039062501,27.4,20.52,35.28,0.7828571428571428
EYE,EYE270115P00012500,Put,2027-01-15,12.5,0.0,2.15,1.0,10.0,0.6694368994140626,27.4,20.52,35.28,0.4562043795620438
EYE,EYE270115P00020000,Put,2027-01-15,20.0,1.1,3.8,2.0,16.0,0.5062305236816407,27.4,20.52,35.28,0.7299270072992701
EYE,EYE270115P00025000,Put,2027-01-15,25.0,4.9,6.6,1.0,5.0,0.586918193359375,27.4,20.52,35.28,0.9124087591240876
