Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
AVDL,AVDL260116C00022500,Call,2026-01-16,22.5,0.66,0.4,0.55,10,40,10.7,18.88,14.66919994354248,0.6196327099609377
AVDL,AVDL250919C00017500,Call,2025-09-19,17.5,0.85,0.15,0.25,50,567,10.7,18.88,14.66919994354248,0.6523472265625001
AVDL,AVDL251017C00017500,Call,2025-10-17,17.5,0.85,0.3,0.4,30,56,10.7,18.88,14.66919994354248,0.5410202148437502
AVDL,AVDL270115C00025000,Call,2027-01-15,25.0,0.59,1.05,1.4,22,73,10.7,18.88,14.66919994354248,0.5224657128906249
AVDL,AVDL270115C00022500,Call,2027-01-15,22.5,0.66,1.75,2.15,2,41,10.7,18.88,14.66919994354248,0.5805706005859376
AVDL,AVDL251219P00012500,Put,2025-12-19,12.5,1.18,0.9,1.1,1,41,10.7,18.88,14.66919994354248,0.6259803027343751
AVDL,AVDL251017C00015000,Call,2025-10-17,15.0,0.99,1.0,1.25,20,95,10.7,18.88,14.66919994354248,0.57617611328125
AVDL,AVDL251017P00015000,Put,2025-10-17,15.0,0.99,1.35,1.6,30,63,10.7,18.88,14.66919994354248,0.584965087890625
AVDL,AVDL250919C00015000,Call,2025-09-19,15.0,0.99,0.75,1.0,10,3100,10.7,18.88,14.66919994354248,0.6806672558593752
AVDL,AVDL251219C00020000,Call,2025-12-19,20.0,0.74,0.5,0.6,51,248,10.7,18.88,14.66919994354248,0.5986368261718751
AVDL,AVDL260116C00020000,Call,2026-01-16,20.0,0.74,0.75,0.9,5,350,10.7,18.88,14.66919994354248,0.63086306640625
AVDL,AVDL260320C00017500,Call,2026-03-20,17.5,0.85,1.65,1.9,10,115,10.7,18.88,14.66919994354248,0.6250037500000001
AVDL,AVDL250919P00015000,Put,2025-09-19,15.0,0.99,1.1,1.3,56,323,10.7,18.88,14.66919994354248,0.6777375976562501
AVDL,AVDL260116C00017500,Call,2026-01-16,17.5,0.85,1.2,1.5,1,3704,10.7,18.88,14.66919994354248,0.6323278955078125
AVDL,AVDL251219C00007500,Call,2025-12-19,7.5,1.97,6.9,7.5,10,27,10.7,18.88,14.66919994354248,0.6015664843750002
AVDL,AVDL251219C00017500,Call,2025-12-19,17.5,0.85,1.0,1.15,2,321,10.7,18.88,14.66919994354248,0.6176796044921876
AVDL,AVDL270115C00015000,Call,2027-01-15,15.0,0.99,3.5,3.9,29,221,10.7,18.88,14.66919994354248,0.5639692041015626
AVDL,AVDL260116P00017500,Put,2026-01-16,17.5,0.85,3.8,4.1,1,81,10.7,18.88,14.66919994354248,0.5668988623046876
AVDL,AVDL270115C00005000,Call,2027-01-15,5.0,2.96,9.3,10.3,4,543,10.7,18.88,14.66919994354248,0.5722699023437501
AVDL,AVDL260116C00012500,Call,2026-01-16,12.5,1.18,3.4,3.8,7,1005,10.7,18.88,14.66919994354248,0.702151416015625
AVDL,AVDL250919C00010000,Call,2025-09-19,10.0,1.48,4.4,4.9,43,1079,10.7,18.88,14.66919994354248,1.2695349023437497
AVDL,AVDL260116P00015000,Put,2026-01-16,15.0,0.99,2.25,2.5,12,1021,10.7,18.88,14.66919994354248,0.5991251025390626
AVDL,AVDL260320C00012500,Call,2026-03-20,12.5,1.18,3.8,4.1,15,228,10.7,18.88,14.66919994354248,0.6792024267578126
AVDL,AVDL270115C00007500,Call,2027-01-15,7.5,1.97,7.7,8.3,20,410,10.7,18.88,14.66919994354248,0.657229990234375
AVDL,AVDL260116C00005000,Call,2026-01-16,5.0,2.96,9.5,10.2,10,352,10.7,18.88,14.66919994354248,1.16016044921875
AVDL,AVDL270115C00012500,Call,2027-01-15,12.5,1.18,4.7,5.0,9,197,10.7,18.88,14.66919994354248,0.5861857788085938
AVDL,AVDL251219C00012500,Call,2025-12-19,12.5,1.18,3.2,3.4,1,203,10.7,18.88,14.66919994354248,0.6738313867187502
AVDL,AVDL260320C00015000,Call,2026-03-20,15.0,0.99,2.55,2.7,165,165,10.7,18.88,14.66919994354248,0.632816171875
AVDL,AVDL251219C00015000,Call,2025-12-19,15.0,0.99,1.9,2.05,3,1401,10.7,18.88,14.66919994354248,0.64648791015625
AVDL,AVDL260116C00007500,Call,2026-01-16,7.5,1.97,7.2,7.7,6,944,10.7,18.88,14.66919994354248,0.85937640625
AVDL,AVDL260116C00015000,Call,2026-01-16,15.0,0.99,2.2,2.4,14,8771,10.7,18.88,14.66919994354248,0.6694368994140626
AVDL,AVDL250919C00007500,Call,2025-09-19,7.5,1.97,7.7,8.0,3,56,10.7,18.88,14.66919994354248,2.7968780078125004
AVDL,AVDL270115C00010000,Call,2027-01-15,10.0,1.48,6.0,6.3,20,384,10.7,18.88,14.66919994354248,0.58789474609375
AVDL,AVDL250919C00012500,Call,2025-09-19,12.5,1.18,2.4,2.55,7,1660,10.7,18.88,14.66919994354248,0.7617211328125001
AVDL,AVDL260116C00010000,Call,2026-01-16,10.0,1.48,5.2,5.4,2,11233,10.7,18.88,14.66919994354248,0.7392604199218749
AVDL,AVDL251219C00010000,Call,2025-12-19,10.0,1.48,5.1,5.2,1,170,10.7,18.88,14.66919994354248,0.7412135253906249
