Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
OPK,OPK250919C00000500,Call,2025-09-19,0.5,0.8,1.2,2.0,5,18.250004296875005,1.45,1.25,1.67,2.9
OPK,OPK250919C00001000,Call,2025-09-19,1.0,0.4,0.5,55.0,758,0.500005,1.45,1.25,1.67,1.45
OPK,OPK250919C00001500,Call,2025-09-19,1.5,0.0,0.05,351.0,6387,1.5000025,1.45,1.25,1.67,0.9666666666666667
OPK,OPK250919C00002000,Call,2025-09-19,2.0,0.0,0.05,1.0,2221,5.12500359375,1.45,1.25,1.67,0.725
OPK,OPK250919C00002500,Call,2025-09-19,2.5,0.0,0.05,6.0,358,7.2500009375,1.45,1.25,1.67,0.58
OPK,OPK250919C00003000,Call,2025-09-19,3.0,0.0,0.1,4.0,5821,10.625003359375002,1.45,1.25,1.67,0.48333333333333334
OPK,OPK250919C00003500,Call,2025-09-19,3.5,0.0,0.55,1.0,1,21.1250033984375,1.45,1.25,1.67,0.41428571428571426
OPK,OPK250919P00001000,Put,2025-09-19,1.0,0.0,0.05,1.0,34,6.2500021875,1.45,1.25,1.67,0.6896551724137931
OPK,OPK250919P00001500,Put,2025-09-19,1.5,0.0,0.05,30.0,3031,0.2500075,1.45,1.25,1.67,1.0344827586206897
OPK,OPK250919P00002000,Put,2025-09-19,2.0,0.0,0.0,1.0,37,1.0000000000000003e-05,1.45,1.25,1.67,1.3793103448275863
OPK,OPK250919P00002500,Put,2025-09-19,2.5,0.8,1.25,,0,14.750000781250002,1.45,1.25,1.67,1.7241379310344829
OPK,OPK250919P00003500,Put,2025-09-19,3.5,1.95,2.4,10.0,0,15.625000234375,1.45,1.25,1.67,2.413793103448276
OPK,OPK251017C00001000,Call,2025-10-17,1.0,0.0,2.0,1.0,457,6.2500021875,1.45,1.25,1.67,1.45
OPK,OPK251017C00001500,Call,2025-10-17,1.5,0.05,0.15,138.0,536,0.7500025,1.45,1.25,1.67,0.9666666666666667
OPK,OPK251017C00002000,Call,2025-10-17,2.0,0.0,0.05,23.0,9,0.937500625,1.45,1.25,1.67,0.725
OPK,OPK251017C00002500,Call,2025-10-17,2.5,0.0,0.05,,3,1.359378203125,1.45,1.25,1.67,0.58
OPK,OPK251017P00001000,Put,2025-10-17,1.0,0.0,0.3,,10,2.4531288671875,1.45,1.25,1.67,0.6896551724137931
OPK,OPK251219C00000500,Call,2025-12-19,0.5,0.75,1.05,10.0,13,2.4531288671875,1.45,1.25,1.67,2.9
OPK,OPK251219C00001000,Call,2025-12-19,1.0,0.45,0.55,55.0,644,0.8281267187499999,1.45,1.25,1.67,1.45
OPK,OPK251219C00001500,Call,2025-12-19,1.5,0.1,0.2,18.0,1249,0.5937540625000001,1.45,1.25,1.67,0.9666666666666667
OPK,OPK251219C00002000,Call,2025-12-19,2.0,0.05,0.1,37.0,2125,0.773439765625,1.45,1.25,1.67,0.725
OPK,OPK251219C00002500,Call,2025-12-19,2.5,0.0,0.2,10.0,881,1.15625421875,1.45,1.25,1.67,0.58
OPK,OPK251219C00003000,Call,2025-12-19,3.0,0.0,0.4,30.0,38,1.7578137109375,1.45,1.25,1.67,0.48333333333333334
OPK,OPK251219C00003500,Call,2025-12-19,3.5,0.0,0.1,25.0,31,1.2500037499999999,1.45,1.25,1.67,0.41428571428571426
OPK,OPK251219P00001000,Put,2025-12-19,1.0,0.0,0.2,10.0,95,1.109379453125,1.45,1.25,1.67,0.6896551724137931
OPK,OPK251219P00001500,Put,2025-12-19,1.5,0.0,0.25,10.0,361,0.7656273437500001,1.45,1.25,1.67,1.0344827586206897
OPK,OPK251219P00002000,Put,2025-12-19,2.0,0.0,0.65,236.0,255,0.87500125,1.45,1.25,1.67,1.3793103448275863
OPK,OPK260116C00000500,Call,2026-01-16,0.5,0.8,1.05,1.0,28,2.1406296484375,1.45,1.25,1.67,2.9
OPK,OPK260116C00001000,Call,2026-01-16,1.0,0.5,0.55,4.0,1736,0.85937640625,1.45,1.25,1.67,1.45
OPK,OPK260116C00001500,Call,2026-01-16,1.5,0.15,0.2,44.0,14241,0.5937540625000001,1.45,1.25,1.67,0.9666666666666667
OPK,OPK260116C00002000,Call,2026-01-16,2.0,0.05,0.1,4.0,6706,0.6796907031250001,1.45,1.25,1.67,0.725
OPK,OPK260116C00002500,Call,2026-01-16,2.5,0.0,0.1,20.0,1036,0.804689453125,1.45,1.25,1.67,0.58
OPK,OPK260116C00003000,Call,2026-01-16,3.0,0.0,0.1,5.0,3657,0.9687503125,1.45,1.25,1.67,0.48333333333333334
OPK,OPK260116C00003500,Call,2026-01-16,3.5,0.0,0.0,1.0,0,0.500005,1.45,1.25,1.67,0.41428571428571426
OPK,OPK260116P00001000,Put,2026-01-16,1.0,0.0,0.25,5.0,794,1.09375453125,1.45,1.25,1.67,0.6896551724137931
OPK,OPK260116P00001500,Put,2026-01-16,1.5,0.0,0.25,2.0,420,0.6679720703125002,1.45,1.25,1.67,1.0344827586206897
OPK,OPK260116P00002000,Put,2026-01-16,2.0,0.55,0.6,1.0,243,0.57812921875,1.45,1.25,1.67,1.3793103448275863
OPK,OPK260116P00002500,Put,2026-01-16,2.5,1.05,1.3,20.0,6,1.1015669921875002,1.45,1.25,1.67,1.7241379310344829
OPK,OPK260320C00001000,Call,2026-03-20,1.0,0.0,0.6,10.0,730,0.9765627343750001,1.45,1.25,1.67,1.45
OPK,OPK260320C00001500,Call,2026-03-20,1.5,0.15,0.35,10.0,126,0.6640658593750002,1.45,1.25,1.67,0.9666666666666667
OPK,OPK260320C00002000,Call,2026-03-20,2.0,0.0,0.15,5.0,57,0.5468795312500001,1.45,1.25,1.67,0.725
OPK,OPK260320C00002500,Call,2026-03-20,2.5,0.0,0.1,,18,0.648441015625,1.45,1.25,1.67,0.58
OPK,OPK260320P00001000,Put,2026-03-20,1.0,0.0,0.15,,5,0.6953155468750001,1.45,1.25,1.67,0.6896551724137931
OPK,OPK260320P00001500,Put,2026-03-20,1.5,0.0,0.35,220.0,38,0.789064609375,1.45,1.25,1.67,1.0344827586206897
OPK,OPK270115C00000500,Call,2027-01-15,0.5,0.6,1.05,3.0,248,1.0703171484375003,1.45,1.25,1.67,2.9
OPK,OPK270115C00001000,Call,2027-01-15,1.0,0.55,1.0,1.0,2195,0.98437515625,1.45,1.25,1.67,1.45
OPK,OPK270115C00001500,Call,2027-01-15,1.5,0.35,0.45,3.0,3314,0.64062859375,1.45,1.25,1.67,0.9666666666666667
OPK,OPK270115C00002000,Call,2027-01-15,2.0,0.15,0.3,10.0,2290,0.5800823242187501,1.45,1.25,1.67,0.725
